ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
E3114,C,1986,130,1,C,30710,68,3270089,5644,211.2,11.64,2952691,,0
E2270,E,1985,146,482,C,209959,39,637035,5639,55017.6,34.17,686418,,1
E2271,E,1985,146,482,C,209959,39,637035,5639,55017.6,34.17,686418,,1
E4365,C,1998,130,1,B,15000,33,208203,5595,19166.4,9.48,227658,,0
E3153,C,1991,130,1,C,12682,6,488209,5561,1900.8,19.06,499960,,0
E3524,A,1988,130,1,C,15378,6,663894,5518,1320,19.48,694080,,0
E3066,E,1996,140,1,C,60285,31,1914124,5493,6.05,1.19,2444051,F,0
E2648,A,1985,130,1,B,19998,22,282811,5482,29462.4,4.89,322192,,0
E1861,E,1999,140,,B,13902,,915749,5466,29515.2,2.74,,M,1
E1862,E,1999,140,,B,13902,,915749,5466,29515.2,2.74,,M,1
E1923,A,1990,146,70,C,30492,28,743698,5465,51955.2,19.87,824107,,1
E3098,A,1972,146,37897,C,37897,17,1743226,5427,5438.4,20.32,2108043,,0
E2230,A,1981,146,485,C,211266,39,526426,5425,50054.4,31.21,543549,,1
E2231,A,1981,146,485,C,211266,39,526426,5425,50054.4,31.21,543549,,1
E3043,A,2005,130,1,B,10000,33,329390,5275,3907.2,7.02,358363,,0
E3707,A,2001,130,1,B,15126,40,298618,5266,40444.8,2.81,343624,,0
E429,A,1982,130,,B,21534,,182499,5239,2956.8,13.84,,,1
E1423,A,1997,130,1,B,10000,3,352097,5209,6547.2,13.3,371416,,1
E1990,A,1985,146,70,C,30492,28,611951,5178,51163.2,19.72,683987,,1
E1397,A,1991,140,,B,47703,,626896,5169,46569.6,10.72,,M,1
E1385,C,1983,130,1,B,10452,33,122195,5168,2323.2,5.58,140431,,1
E3816,C,2008,110,45529,B,45525,5,302897,5160,128620.8,0.33,330613,F,0
E4170,B,1970,130,70,B,31430,31,157504,5144,6283.2,14.69,184449,,0
E3434,A,2003,130,1,C,29682,27,572421,5138,158.4,10.26,418645,,0
E3589,A,1999,140,200,B,87120,87,404779,5115,64680,7.74,468349,M,0
E3401,A,1990,130,1,C,8825,7,587699,5111,475.2,13.49,726107,,0
E2804,C,1990,130,1,B,10000,33,150309,5110,8712,6.52,168915,,0
E3245,C,1987,130,1,C,14278,6,524589,5110,1161.6,19.22,541384,,0
E2041,A,1979,130,1,B,10000,3,120398,5109,8606.4,9.53,136489,,1
E1371,E,2005,140,,B,15000,,394680,5099,13200,6.52,,M,1
E1059,C,1989,130,1,B,11600,33,254810,5066,10137.6,7.67,276230,,1
E2383,E,1980,146,,C,18524,,1704535,5064,8764.8,17.49,,,1
E1999,A,2014,140,,B,50094,,499455,5045,82156.8,0.61,,F,1
E3321,A,1984,130,1,C,13370,6,669391,5045,1161.6,15.72,749945,,0
E2395,E,1985,146,213,C,92783,38,643056,5030,51163.2,28.95,648351,,1
E1750,A,2001,140,,B,18759,,551846,5024,15787.2,6.29,,M,1
E3739,C,1995,130,1,B,15001,3,178511,5005,11721.6,11.85,205208,,0
E3510,E,1987,140,1,C,7395,23,1452494,4993,1161.6,7.7,1306012,M,0
E2452,E,1997,140,,B,13068,,576325,4984,27139.2,2.24,,F,1
E2842,A,2005,140,500,B,217852,87,465864,4967,88281.6,6.34,514498,M,0
E1381,A,2000,140,,B,14000,,507037,4955,15681.6,6.42,,M,1
E3369,C,1991,130,1,C,60158,6,663400,4905,316.8,15.53,789571,,0
E598,A,2001,130,,B,7884,,284022,4902,29515.2,8.07,,,1
E2406,C,1989,130,1,B,17285,33,137302,4895,31680,7.03,154454,,1
E1988,A,1990,146,70,C,30492,28,616744,4894,50529.6,20.12,687870,,1
E1153,C,2003,120,0,B,88148,11,651160,4892,34108.8,2.03,682909,F,1
E2442,A,2013,140,,B,13758,,594410,4878,13094.4,6.81,,M,1
E3328,E,2014,146,31798,C,31798,37,1278315,4854,5438.4,23.13,1327186,,0
E1225,A,1980,146,40946,C,40946,28,706402,4846,22968,20.61,796179,,1
E1226,A,1980,146,40946,C,40946,28,706402,4846,22968,20.61,796179,,1
E2146,C,1994,140,17696,C,17696,4,607180,4846,56496,5.27,637710,M,1
E2147,C,1994,140,17696,C,17696,4,607180,4846,56496,5.27,637710,M,1
E2560,A,1988,140,1,B,44340,89,514349,4840,75926.4,8.62,514331,M,0
E1509,C,1994,140,17457,C,17457,7,920170,4826,89284.8,1.47,1012830,M,1
E1510,C,1994,140,17457,C,17457,7,920170,4826,89284.8,1.47,1012830,M,1
E1511,C,1994,140,17457,C,17457,7,920170,4826,89284.8,1.47,1012830,M,1
E556,C,1981,130,1,B,10000,3,228396,4813,11880,10.19,237208,,1
E557,C,1981,130,1,B,10000,3,228396,4813,11880,10.19,237208,,1
E2864,E,1999,130,1,B,11392,22,411800,4803,31732.8,4.71,559463,,0
E3456,C,1989,130,1,C,20547,6,502809,4801,2164.8,19.2,568583,,0
E1174,A,1999,123,,C,13033,,768795,4788,52.8,2.93,,M,1
E1175,A,1999,123,,C,13033,,768795,4788,52.8,2.93,,M,1
E3278,C,2001,123,2099200,C,20992,2,211849,4754,844.8,0.36,219565,M,0
E3482,E,1989,130,,C,27630,,1353865,4751,158.4,2.51,,F,0
E3941,A,1980,130,1,B,14771,3,225804,4746,5755.2,9.09,237739,,0
E3106,A,1994,130,162,C,11135,602,1577900,4742,19.83,1.8,1677500,F,0
E2157,C,1979,140,250,C,108975,7,782660,4741,63307.2,5.5,754210,M,1
E2635,C,1997,120,1,B,11226,1,102400,4721,75345.6,8.74,154176,,0
E1522,C,1980,130,1,B,10000,33,203200,4672,2745.6,5.8,216173,,1
E3311,E,1990,130,155,C,48547,602,3290300,4640,158.4,1.99,3643400,F,0
E1806,A,1995,123,,C,28950,,1148132,4634,897.6,0.84,,M,1
E3041,C,1986,130,1,B,17495,22,252912,4632,5702.4,8.95,282014,,0
E1769,E,2014,120,101,B,44032,13,575745,4630,46252.8,0.17,599754,M,1
E1884,C,1988,130,1,B,10000,33,136897,4628,7972.8,5.28,155046,,1
E1885,C,1988,130,1,B,10000,33,136897,4628,7972.8,5.28,155046,,1
E4644,E,2003,123,,B,44758,,725768,4627,5491.2,1.03,,M,0
E1116,C,1965,146,100,C,20300,23,339538,4625,19852.8,16.23,383240,S,1
E1117,C,1965,146,100,C,20300,23,339538,4625,19852.8,16.23,383240,S,1
E1838,C,1965,146,100,C,20300,23,339538,4625,19852.8,16.23,383240,S,1
E2458,A,1985,146,95,C,41295,27,696671,4623,18796.8,20.27,820195,,1
E2178,A,1999,120,0,B,31881,22,360732,4602,6547.2,3.96,378483,M,1
E2179,A,1999,120,0,B,31881,22,360732,4602,6547.2,3.96,378483,M,1
E3402,C,1986,130,1,C,44223,6,644991,4602,1425.6,16.77,707518,,0
E3255,E,2003,146,23045,C,23045,17,1133078,4601,5860.8,22.07,1135035,,0
E2709,A,2006,110,1,B,24013,44,411377,4595,233534.4,1.31,499273,F,0
E1311,C,1981,130,,B,15727,,186895,4593,12988.8,8.66,,,1
E4699,E,1992,140,2,C,7957,26,1222011,4588,369.6,4.32,1221951,F,0
E535,A,1979,140,,B,87120,,350676,4581,67372.8,7.56,,F,1
E536,A,1979,140,,B,87120,,350676,4581,67372.8,7.56,,F,1
E5107,C,1988,120,7800,B,7531,3,521286,4567,1267.2,0.66,547170,M,0
E4176,C,1984,123,,B,8634,,170000,4564,10560,1.15,,M,0
E1518,C,1987,140,118919,C,104937,7,631840,4558,84374.4,3.23,696130,M,1
E1519,C,1987,140,118919,C,104937,7,631840,4558,84374.4,3.23,696130,M,1
E3073,B,1984,140,80,C,11698,4,473971,4558,1267.2,8.78,542184,,0
E2102,A,1990,130,,B,13695,,278286,4554,18163.2,8.26,,,1
E1732,E,2001,140,,B,12259,,789977,4549,18796.8,1.17,,M,1
E3491,C,1984,130,1,C,14564,5,191209,4546,1425.6,2.42,207763,,0
E626,C,1992,140,34319,C,34319,4,682210,4544,48787.2,4.4,750370,M,1
E1586,C,1988,130,1,B,10000,33,143204,4542,10348.8,4.74,160820,,1
E1916,C,1996,130,1,B,10000,3,162205,4537,9081.6,10.96,185125,,1
E2237,C,1979,140,39573,C,39573,4,464250,4534,61142.4,4.62,464250,M,1
E3091,E,1985,146,38768,C,38768,37,1226372,4534,7392,21.41,1344441,,0
E2051,C,1981,140,48453,C,48453,6,591230,4528,59928,5.12,645340,M,1
E2453,A,2010,130,1,B,10000,3,380299,4523,2164.8,7.61,388625,,1
E2454,A,2010,130,1,B,10000,3,380299,4523,2164.8,7.61,388625,,1
E2059,E,1987,150,120,C,14675,19,533000,4514,211.2,6.88,570200,M,1
E2060,E,1987,150,120,C,14675,19,533000,4514,211.2,6.88,570200,M,1
E2061,E,1987,150,120,C,14675,19,533000,4514,211.2,6.88,570200,M,1
E2062,E,1987,150,120,C,14675,19,533000,4514,211.2,6.88,570200,M,1
E4120,C,1998,130,1,B,14395,22,358687,4490,1636.8,10.94,343465,,0
E1517,A,2003,140,,B,16797,,371672,4489,17793.6,6.32,,M,1
E4673,C,1990,140,11672,C,11672,1,1099090,4470,316.8,2.18,1358400,M,0
E3678,C,1983,140,46880,C,46880,7,504600,4461,69696,2.53,515310,M,0
E956,C,2004,120,43560,B,95756,5,327651,4460,21595.2,0.3,366718,M,1
E957,C,2004,120,43560,B,95756,5,327651,4460,21595.2,0.3,366718,M,1
E1425,C,1988,130,1,B,9872,33,138300,4460,9873.6,5.11,156650,,1
E1426,C,1988,130,1,B,9872,33,138300,4460,9873.6,5.11,156650,,1
E1427,C,1988,130,1,B,9872,33,138300,4460,9873.6,5.11,156650,,1
E1428,C,1988,130,1,B,9872,33,138300,4460,9873.6,5.11,156650,,1
E2144,S,1992,120,,B,23958,,344788,4435,80942.4,0.59,,F,1
E2145,S,1992,120,,B,23958,,344788,4435,80942.4,0.59,,F,1
E4986,A,2002,120,13300,B,21479,11,340773,4418,47203.2,0.71,357258,M,0
E1958,B,1960,146,81,C,35153,38,533766,4417,21278.4,23.55,538920,,1
E1959,B,1960,146,81,C,35153,38,533766,4417,21278.4,23.55,538920,,1
E2114,B,1987,146,22500,C,22500,39,298962,4407,54014.4,37.83,346299,,1
E2215,A,2000,123,,B,40058,,422328,4403,7180.8,0.74,,F,1
E2216,A,2000,123,,B,40058,,422328,4403,7180.8,0.74,,F,1
E2217,A,2000,123,,B,40058,,422328,4403,7180.8,0.74,,F,1
E726,C,1981,130,1,B,10000,33,126099,4402,7128,6.04,143451,,1
E727,C,1981,130,1,B,10000,33,126099,4402,7128,6.04,143451,,1
E728,C,1981,130,1,B,10000,33,126099,4402,7128,6.04,143451,,1
E3320,E,1967,146,100,C,11300,14,1016948,4398,633.6,6.39,1159379,,0
E1919,C,1991,140,15275,C,15275,7,674670,4383,89812.8,2.09,687820,M,1
E3081,A,1971,146,21584,C,21584,39,550499,4380,5068.8,24.8,593821,,0
E3923,C,1972,130,100,C,41991,85,418051,4365,1848,17.52,409219,M,0
E511,A,1992,130,1,B,10488,3,174687,4345,6811.2,8.65,194185,,1
E512,A,1992,130,1,B,10488,3,174687,4345,6811.2,8.65,194185,,1
E513,A,1992,130,1,B,10488,3,174687,4345,6811.2,8.65,194185,,1
E514,A,1992,130,1,B,10488,3,174687,4345,6811.2,8.65,194185,,1
E1747,E,1999,123,,B,16958,,525415,4336,7867.2,0.04,,F,1
E3937,C,1970,123,,B,10960,,142876,4332,6916.8,0.77,,F,0
E1996,C,1989,140,46267,C,46267,4,758310,4314,48523.2,4.12,891610,M,1
E1453,E,1993,146,19848,C,19848,28,613842,4307,51110.4,17.61,676505,,1
E837,A,1992,130,,B,14548,,289409,4303,35428.8,3.91,,,1
E838,A,1992,130,,B,14548,,289409,4303,35428.8,3.91,,,1
E3885,B,1990,120,,C,54014,,408830,4299,316.8,2.93,,M,0
E1796,A,1981,146,17856,C,17856,38,544703,4290,19060.8,24.7,553646,,1
E1797,A,1981,146,17856,C,17856,38,544703,4290,19060.8,24.7,553646,,1
E1798,A,1981,146,17856,C,17856,38,544703,4290,19060.8,24.7,553646,,1
E5309,A,2006,110,1,B,16424,32,1137911,4283,164419.2,1.16,1165577,M,0
E3161,M,1995,140,1,C,16553,3,622349,4281,1161.6,31.17,744332,,0
E3186,E,1988,146,16894,C,16894,39,785870,4277,4910.4,24.28,834787,,0
E1210,A,1958,146,293,C,127631,39,299862,4275,30465.6,33.24,408830,,1
E1211,A,1958,146,293,C,127631,39,299862,4275,30465.6,33.24,408830,,1
E756,C,1987,130,1,B,19575,33,208502,4274,7972.8,6.38,226375,,1
E757,C,1987,130,1,B,19575,33,208502,4274,7972.8,6.38,226375,,1
E1896,E,1991,140,,B,15881,,632126,4249,14361.6,4.81,,M,1
E3208,A,1993,140,1,B,11977,23,1344333,4227,2745.6,7.02,1396754,M,0
E3644,A,2000,123,,C,9923,,466996,4224,264,0.49,,M,0
E2387,C,1969,110,598,B,369360,6,220552,4223,232795.2,0.37,219738,F,1
E2388,C,1969,110,598,B,369360,6,220552,4223,232795.2,0.37,219738,F,1
E2389,C,1969,110,598,B,369360,6,220552,4223,232795.2,0.37,219738,F,1
E2390,C,1969,110,598,B,369360,6,220552,4223,232795.2,0.37,219738,F,1
E1995,A,2004,140,,B,15148,,408314,4194,48945.6,8.39,,M,1
E2679,,2000,100,34263,B,34412,1,709130,4191,204283.2,1.1,716350,M,0
E3451,A,2000,130,1,C,14819,6,554688,4187,1953.6,18.58,574696,,0
E3207,C,1954,140,15006,C,15006,3,316200,4180,8976,2.59,369140,M,0
E3040,A,1973,130,1,B,10000,3,265695,4172,1742.4,11.48,292698,,0
E2288,A,2001,140,12129,C,12129,7,693200,4163,93244.8,2.47,772480,M,1
E2289,A,2001,140,12129,C,12129,7,693200,4163,93244.8,2.47,772480,M,1
E1363,C,1985,130,,C,11213,,167401,4162,1478.4,0.75,,,1
E2190,A,2008,120,20130,B,24643,15,386554,4150,52324.8,0.42,451300,M,1
E2866,C,1989,130,1,B,10000,3,278596,4149,3273.6,7.18,274470,,0
E3083,A,1986,140,2,C,18929,31,801675,4146,475.2,1.59,835293,F,0
E3261,A,1989,130,1,C,14273,6,598706,4137,1531.2,17.56,639267,,0
E1620,E,1998,123,,C,41818,,762911,4133,264,1.91,,F,1
E3566,A,1988,123,,B,14466,,452985,4132,2217.6,0.72,,F,0
E1389,C,1985,130,1,B,15000,3,161900,4124,7656,8.84,180222,,1
E3512,E,2014,130,1,C,22288,6,601991,4121,4276.8,18.77,646562,F,0
E1980,A,1999,146,64,C,27878,28,613238,4116,52852.8,19.94,662524,,1
E1881,E,1996,140,,B,16720,,542695,4102,45988.8,5.08,,M,1
E1400,B,1975,146,50530,C,50530,38,716511,4092,22123.2,22.88,769168,,1
E1401,B,1975,146,50530,C,50530,38,716511,4092,22123.2,22.88,769168,,1
E3205,S,2009,130,53,C,11157,602,1561000,4092,105.6,1.67,1768800,M,0
E3427,A,1990,120,,C,25264,,1094630,4087,158.4,15.33,,F,0
E2301,A,1995,130,1,B,9999,3,403802,4079,4118.4,12.77,405723,,1
E3015,A,1996,140,131,B,57064,87,274556,4078,66158.4,1.8,306381,M,0
E2269,C,1980,130,1,B,10000,33,117996,4076,2217.6,5.91,134431,,1
E2118,A,2001,123,,C,14540,,709438,4065,105.6,1.72,,F,1
E1912,E,1977,146,,C,20200,,1112204,4051,15523.2,16.48,,,1
E1913,E,1977,146,,C,20200,,1112204,4051,15523.2,16.48,,,1
E1739,C,1987,140,35890,C,35890,4,572240,4046,46675.2,4.04,629290,M,1
E3128,C,1993,120,1,C,10174,7,1346381,4039,264,3.31,1350474,F,0
E4083,C,1992,131,65,B,7336,5,289876,4019,14731.2,11.42,326090,M,0
E1652,A,1995,140,10061,C,10061,7,663160,4015,91555.2,1.71,698890,M,1
E1653,A,1995,140,10061,C,10061,7,663160,4015,91555.2,1.71,698890,M,1
E1654,A,1995,140,10061,C,10061,7,663160,4015,91555.2,1.71,698890,M,1
E2732,C,1986,130,1,B,10498,33,213697,4007,14572.8,6.17,225710,,0
E5248,C,2007,120,1,B,10493,1,124995,4007,78091.2,8.02,134654,,0
E958,C,2002,120,16000,B,15973,23,235837,3999,44352,0.58,240433,M,1
E1970,A,1976,146,101,C,43996,27,827054,3986,15206.4,18.27,839073,,1
E2595,C,1983,120,136,B,18272,17,359880,3981,42240,0.3,413352,F,0
E1299,A,1994,126,,C,15407,,608378,3978,52.8,2.02,,F,1
E1242,E,1994,146,19215,C,19215,38,691116,3967,25608,22.02,738589,,1
E1243,E,1994,146,19215,C,19215,38,691116,3967,25608,22.02,738589,,1
E1201,A,1925,146,,C,8720,,483478,3963,6547.2,14.4,,,1
E1466,A,1992,140,,B,15708,,527442,3948,27720,2.76,,M,1
E1619,A,1986,130,1,B,10928,8,228403,3941,13886.4,10.41,245510,,1
E2034,A,1997,146,125,C,54450,39,297097,3941,65366.4,35.9,348567,,1
E2035,A,1997,146,125,C,54450,39,297097,3941,65366.4,35.9,348567,,1
E3226,C,1978,140,13493,C,13493,1,1035090,3935,2217.6,2.81,1035090,M,0
E3116,C,1968,140,12227,C,12227,1,2192040,3913,1425.6,1.66,2260290,M,0
E2011,A,1986,120,,B,20410,,107193,3912,65208,8.31,,,1
E1526,C,1979,140,14520,C,14520,4,298780,3903,48840,7.12,345310,M,1
E1527,C,1979,140,14520,C,14520,4,298780,3903,48840,7.12,345310,M,1
E3926,A,1981,130,1,B,10311,3,284305,3903,6916.8,12.35,280041,,0
E4381,C,1977,140,14532,C,14532,7,425570,3903,82579.2,1.48,446440,M,0
E2185,C,1992,140,46664,C,46664,4,510030,3901,50265.6,5.2,537670,M,1
E3481,C,1995,130,1,C,16482,5,149605,3901,2534.4,2.46,159750,,0
E1202,A,1989,123,,B,100654,,682188,3894,7708.8,0.25,,M,1
E1036,E,2001,146,13114,C,13114,38,546570,3883,14097.6,25.46,565618,,1
E1544,A,2007,120,19046,B,22451,15,240763,3878,75187.2,0.21,261023,M,1
E3189,A,1992,130,11887,C,11887,602,636200,3868,369.6,4.39,664400,M,0
E2238,A,1977,146,24000,C,24000,28,450957,3863,34003.2,16.42,512680,,1
E3220,C,1984,130,1,C,12149,6,726497,3862,52.8,17.7,703846,,0
E1760,A,1991,146,15764,C,15764,28,469753,3859,42609.6,18.84,493015,,1
E4741,A,1994,146,8578,C,8578,25,452819,3855,59875.2,8.86,504939,,0
E3099,C,2000,130,,B,13065,,229901,3839,6652.8,9.63,,,0
E3557,C,2002,130,1,B,15000,33,171309,3833,8236.8,10.1,215112,,0
E1156,A,1980,146,21875,C,21875,38,594753,3831,23812.8,22.59,648004,,1
E1157,A,1980,146,21875,C,21875,38,594753,3831,23812.8,22.59,648004,,1
E1954,C,1992,140,9900,C,9900,6,577840,3821,55598.4,5.03,606490,M,1
E1688,C,1977,140,12399,C,12399,3,673040,3820,19008,3.79,673040,M,1
E4616,E,1990,110,1,B,13880,32,461298,3820,167534.4,0.62,424036,M,0
E4463,C,1985,120,242,B,103100,6,294630,3818,87753.6,1.63,318417,F,0
E2030,A,1976,130,,B,15597,,239703,3815,1689.6,4.4,,,1
E2123,C,1983,140,,B,13249,,504627,3813,25132.8,2.7,,M,1
E2124,C,1983,140,,B,13249,,504627,3813,25132.8,2.7,,M,1
E1057,A,2010,120,,B,9583,,323260,3811,7920,19.6,,F,1
E1494,C,1990,130,1,B,10000,3,147291,3808,16209.6,10.36,157857,,1
E3292,C,1982,140,12500,C,12500,1,1369610,3808,739.2,2.23,1421490,M,0
E2931,C,1970,140,32749,C,32749,4,469540,3799,61195.2,6.12,450260,M,0
E2511,C,1994,130,1,B,11112,3,169303,3792,7128,12.81,177028,,0
E2608,C,1955,120,,B,13872,,64134,3791,5860.8,2.49,,M,0
E2889,C,1990,130,1,B,10000,33,215402,3790,8395.2,6.41,231899,,0
E4750,C,1973,130,,C,12881,,1398055,3786,105.6,1.54,,F,0
E3307,A,1983,130,96,C,26566,605,874300,3784,158.4,4.03,875400,M,0
E1064,A,1982,130,1,B,10000,33,110501,3778,10032,6.84,127841,,1
E2152,B,1995,146,33454,C,33454,38,494236,3776,22176,24.93,562990,,1
E1659,E,1992,140,,B,12197,,405310,3772,30360,1.63,,M,1
E1906,A,1981,146,11103,C,11103,38,435357,3760,31416,23.33,460171,,1
E798,A,1999,140,11827,C,11827,7,440200,3759,68534.4,6.61,493200,M,1
E799,A,1999,140,11827,C,11827,7,440200,3759,68534.4,6.61,493200,M,1
E800,A,1999,140,11827,C,11827,7,440200,3759,68534.4,6.61,493200,M,1
E801,A,1999,140,11827,C,11827,7,440200,3759,68534.4,6.61,493200,M,1
E5360,B,1998,128,1,B,,8,343106,3759,48734.4,3.45,394984,M,0
E438,B,1983,146,16000,C,16000,38,398741,3752,38755.2,23.82,449213,,1
E439,B,1983,146,16000,C,16000,38,398741,3752,38755.2,23.82,449213,,1
E440,B,1983,146,16000,C,16000,38,398741,3752,38755.2,23.82,449213,,1
E441,B,1983,146,16000,C,16000,38,398741,3752,38755.2,23.82,449213,,1
E1634,C,1994,130,1,B,11200,33,183914,3750,18902.4,8.88,200744,,1
E3039,A,1993,110,54,B,22607,5,165184,3750,128832,0.83,163196,M,0
E1271,A,1995,140,15279,C,15279,7,569820,3740,85536,2.43,597870,M,1
E1272,A,1995,140,15279,C,15279,7,569820,3740,85536,2.43,597870,M,1
E4444,C,2000,110,1,B,11718,3,223000,3739,190185.6,0.5,227800,,0
E2734,C,2005,132,31,B,3875,6,204788,3735,22862.4,13.1,241411,M,0
E4466,B,1992,129,159,B,69260,8,353928,3734,34003.2,4.93,356851,F,0
E4470,B,1992,129,159,B,69260,8,353928,3734,34003.2,4.93,356851,F,0
E3607,C,1988,120,156,B,69715,16,156408,3732,11457.6,2.31,179039,,0
E4051,C,2000,132,100,B,14900,3,827435,3732,2112,12,839713,M,0
E1282,A,1998,123,,B,21257,,441093,3727,211.2,1.68,,F,1
E962,A,1994,130,2,B,24474,3,486988,3720,4646.4,9.26,517994,M,1
E1249,C,1963,140,14650,C,14650,3,408230,3713,22598.4,1.68,416500,M,1
E1250,C,1963,140,14650,C,14650,3,408230,3713,22598.4,1.68,416500,M,1
E2459,B,1962,146,246,C,107158,39,197878,3713,58238.4,39.43,203504,,1
E1150,A,1988,123,,B,46065,,362563,3711,2428.8,0.16,,M,1
E1151,A,1988,123,,B,46065,,362563,3711,2428.8,0.16,,M,1
E1152,A,1988,123,,B,46065,,362563,3711,2428.8,0.16,,M,1
E2339,E,2001,120,185,B,127153,15,457311,3709,61987.2,0.23,476651,F,1
E1260,B,1985,146,17160,C,17160,38,517562,3700,19008,22.74,559848,,1
E1261,B,1985,146,17160,C,17160,38,517562,3700,19008,22.74,559848,,1
E1390,B,1993,146,15625,C,15625,38,421166,3688,17582.4,24.53,448471,,1
E1488,A,1979,140,,B,12604,,318433,3685,18796.8,10.36,,M,1
E1489,A,1979,140,,B,12604,,318433,3685,18796.8,10.36,,M,1
E3729,C,2004,119,1,B,6600,6,201768,3682,42081.6,2.9,215252,F,0
E1549,A,1997,140,,B,21777,,470677,3677,15206.4,2.51,,M,1
E1787,C,1986,130,,B,21785,,184900,3673,21120,6.13,,,1
E1788,C,1986,130,,B,21785,,184900,3673,21120,6.13,,,1
E2066,A,1998,140,,B,11624,,390462,3672,28459.2,8.68,,M,1
E1977,A,1988,146,14042,C,14042,28,465733,3667,22704,19.38,551989,,1
E1978,A,1988,146,14042,C,14042,28,465733,3667,22704,19.38,551989,,1
E1535,B,1996,120,,B,21801,,109901,3664,60931.2,8.17,,,1
E1587,A,1995,146,7655,C,7655,28,397089,3663,57710.4,22.16,415140,,1
E1588,A,1995,146,7655,C,7655,28,397089,3663,57710.4,22.16,415140,,1
E2353,A,1980,146,26310,C,26310,38,620820,3661,21331.2,22.3,689926,,1
E2354,A,1980,146,26310,C,26310,38,620820,3661,21331.2,22.3,689926,,1
E4623,A,1988,123,,C,24716,,636885,3661,264,0.42,,M,0
E3523,E,1999,146,100,C,15000,14,598458,3660,8976,1.06,671013,,0
E932,C,2011,120,7099,B,7880,26,200859,3654,28195.2,1.99,202971,M,1
E4634,C,1980,140,35128,C,35128,6,468840,3652,58924.8,4.48,515950,M,0
E3313,A,2005,140,1,B,12657,73,608635,3650,2428.8,2.98,638809,M,0
E2103,B,1992,146,17225,C,17225,39,297796,3645,51532.8,37.72,323842,,1
E2310,A,1953,146,37026,C,37026,28,544908,3638,22756.8,20.58,629635,,1
E2285,A,1993,146,15702,C,15702,28,518514,3637,37171.2,21.88,585016,,1
E2429,A,1989,146,14581,C,14581,38,487989,3637,23390.4,24.07,498230,,1
